WKT,id,
"LINESTRING (223.390621137906777 744.018368543607721,223.390621137904674 821.384067425722378)",0
"LINESTRING (379.055888882895943 10.264550859409949,379.055888882894578 62.018367431537975)",1
"LINESTRING (223.390621137906834 823.499764207245903,297.642014659243557 823.499764207245903)",2
"LINESTRING (297.642014659243557 823.499764207245903,298.390499239674227 823.499764207245903)",3
"LINESTRING (298.390499239674227 823.499764207245903,864.182420747654305 823.49976420724613)",4
"LINESTRING (472.89062113791573 741.768368543602605,864.182420747654419 741.768368543601582)",5
"LINESTRING (223.390621137906777 821.384067425722833,275.89062113791573 821.384067425723629)",6
"LINESTRING (223.390621137906777 821.384067425722378,297.641980369603743 821.384067425722151)",7
"LINESTRING (297.642014659243557 823.499764207244993,298.390499239674227 823.499764207244993)",8
"LINESTRING (298.390499239674227 823.499764207244993,467.890621137908397 823.499764207246017)",9
"LINESTRING (223.390621137904674 744.018368543606698,223.390621137906777 821.384067425722378)",10
"LINESTRING (223.390621137906777 821.384067425722833,223.390621137906834 823.499764207245903)",11
"LINESTRING (111.501852220310539 744.018368543607835,128.140621137901036 744.018368543607608)",12
"LINESTRING (128.140621137901036 744.018368543607608,223.390621137904674 744.018368543606698)",13
"LINESTRING (223.390621137906777 744.018368543606698,297.640726483899584 744.018368543606016)",14
"LINESTRING (297.640726483899584 744.018368543606016,298.389211064328151 744.018368543606016)",15
"LINESTRING (111.501852220311221 744.018368543608517,128.140621137901036 744.018368543608403)",16
"LINESTRING (128.140621137901036 744.018368543608403,223.390621137904674 744.018368543607721)",17
"LINESTRING (223.390621137906777 744.018368543607721,297.640726483899584 744.018368543607153)",18
"LINESTRING (526.319553326052642 62.018367431537975,582.390621137915673 118.089435243402804)",19
"LINESTRING (582.390621137915673 194.018367431537968,608.390621137915787 194.018367431537939)",20
"LINESTRING (577.390621137915673 255.018367431536205,582.390621137915673 255.018367431536205)",21
"LINESTRING (582.390621137915673 255.018367431536205,608.390621137915787 255.018367431536205)",22
"LINESTRING (582.390621137915673 118.089435243402804,582.390621137915673 183.517963792815749)",23
"LINESTRING (582.390621137915673 183.517963792815749,582.390621137915673 194.018367431537968)",24
"LINESTRING (582.390621137915673 118.089435243402804,582.390621137915673 183.517963792815749)",25
"LINESTRING (582.390621137915673 183.517963792815749,582.390621137915673 194.018367431537939)",26
"LINESTRING (608.390621137915787 194.018367431537939,608.390621137915673 247.700090875854897)",27
"LINESTRING (608.390621137915787 194.018367431537939,608.390621137915787 255.018367431536205)",28
"LINESTRING (29.258448394009491 194.01836743230561,55.258448394009605 194.018367432304643)",29
"LINESTRING (29.258448394009491 255.018367432303791,55.258448394009491 255.018367432303791)",30
"LINESTRING (55.258448394009491 255.018367432303791,60.258448394009491 255.018367432303819)",31
"LINESTRING (29.258448394009491 194.01836743230561,29.258448394009491 255.018367432303791)",32
"LINESTRING (29.258448394009491 194.01836743230561,29.258448394009491 247.700090876622511)",33
"LINESTRING (55.25844839401136 118.720766955567598,55.258448394009605 194.018367432304643)",34
"LINESTRING (55.258448394009605 194.018367432304643,55.258448394009548 196.482304216757996)",35
"LINESTRING (55.25844839401136 118.720766955567598,111.981350069175704 61.997865280404199)",36
"LINESTRING (111.981350069179328 61.997865280400575,253.521867706405317 61.997865280403644)",37
"LINESTRING (253.521867706405317 61.997865280403644,298.390621137915787 61.997865280404618)",38
"LINESTRING (111.981350069175704 61.997865280404199,253.521867706405317 61.99786528040373)",39
"LINESTRING (376.002408002243044 62.018367431537975,379.055888882894578 62.018367431537975)",40
"LINESTRING (379.055888882894578 62.018367431537975,526.319553326052642 62.018367431537975)",41
"LINESTRING (577.390621137915673 326.018367431536205,582.390621137915673 326.018367431536205)",42
"LINESTRING (582.390621137915673 326.018367431536205,608.390621137915673 326.018367431536205)",43
"LINESTRING (577.390621137915673 387.018367431536149,582.390621137915673 387.018367431536149)",44
"LINESTRING (582.390621137915673 387.018367431536149,608.390621137915787 387.018367431536149)",45
"LINESTRING (582.390621137915673 387.018367431536149,582.390621137915673 450.700090875854812)",46
"LINESTRING (582.390621137915673 255.018367431536205,582.390621137915673 326.018367431536205)",47
"LINESTRING (582.390621137915673 255.018367431536205,582.390621137915673 326.018367431536205)",48
"LINESTRING (608.390621137915673 326.018367431536205,608.390621137915673 379.700090875854926)",49
"LINESTRING (608.390621137915673 326.018367431536205,608.390621137915787 387.018367431536149)",50
"LINESTRING (582.390621137915673 326.018367431536205,608.390621137915673 326.018367431536205)",51
"LINESTRING (472.89062113791573 600.518362524746749,472.89062113791573 602.768362524746749)",52
"LINESTRING (472.89062113791573 602.768362524746749,472.89062113791573 741.768368543602605)",53
"LINESTRING (29.258448394009491 387.018367432303819,55.258448394009491 387.018367432303819)",54
"LINESTRING (55.258448394009491 387.018367432303819,60.258448394009491 387.018367432303819)",55
"LINESTRING (29.258448394009491 326.018367432303819,55.258448394009491 326.018367432303819)",56
"LINESTRING (29.258448394009491 526.700090876622539,55.258448394001505 526.700090876622539)",57
"LINESTRING (55.258448394009491 526.700090876622539,60.258448394009491 526.700090876622539)",58
"LINESTRING (29.258448394009491 464.040823807538743,55.258448394009491 464.040823807538743)",59
"LINESTRING (55.258448394009491 464.040823807538743,60.258448394009491 464.040823807538743)",60
"LINESTRING (29.258448394009491 326.018367432303819,29.258448394009491 387.018367432303819)",61
"LINESTRING (29.258448394009491 326.018367432303819,29.258448394009491 379.700090876622482)",62
"LINESTRING (29.258448394009491 463.018367432303819,29.258448394009491 464.040823807538743)",63
"LINESTRING (29.258448394009491 464.040823807538743,29.258448394009491 526.700090876622539)",64
"LINESTRING (29.258448394009491 463.018367432303819,29.258448394009491 464.040823807538743)",65
"LINESTRING (29.258448394009491 464.040823807538743,29.258448394009491 526.700090876622539)",66
"LINESTRING (55.258448394009491 387.018367432303819,55.258448394009491 464.040823807538743)",67
"LINESTRING (55.258448394009491 255.018367432303791,55.258448394009491 326.018367432303819)",68
"LINESTRING (55.258448394009491 326.018367432303819,55.258448394009491 329.518367431536092)",69
"LINESTRING (55.258448394009491 255.018367432303791,55.258448394009491 326.018367432303819)",70
"LINESTRING (55.258448394009491 326.018367432303819,55.258448394009491 329.518367431536092)",71
"LINESTRING (55.258448394009491 526.700090876622539,55.258448394009491 601.988944210434852)",72
"LINESTRING (55.258448394009491 601.988944210434852,55.258448394009491 687.77496471730808)",73
"LINESTRING (55.258448394001505 526.700090876622539,55.258448394005683 601.988944210434852)",74
"LINESTRING (55.258448394005683 601.988944210434852,55.258448394010436 687.77496471730899)",75
"LINESTRING (55.258448394009491 687.77496471730808,111.501852220310539 744.018368543607835)",76
"LINESTRING (581.890621138752408 461.700090875856688,581.890621138752408 492.518367431520858)",77
"LINESTRING (581.890621138752408 492.518367431520858,581.890621138752408 544.44729471371727)",78
"LINESTRING (378.647841754814579 536.018367431527054,378.647841754814579 559.913099366827964)",79
"LINESTRING (378.647841754818273 199.982309122795272,378.647841754814579 226.544475211026963)",80
"LINESTRING (378.64784175481276 262.544475211052031,378.647841754824071 492.518367431510967)",81
"LINESTRING (378.647841754815261 416.392195510180727,378.647841754816454 492.518367431510967)",82
"LINESTRING (378.647841754815943 372.859229153718672,378.647841754816909 380.018367431576507)",83
"LINESTRING (378.647841754810827 492.518367431510967,581.890621138752408 492.518367431520858)",84
"LINESTRING (378.647841754814579 530.018367431511592,378.647841754814579 533.018367431563433)",85
"LINESTRING (378.64784175481492 533.018367431562751,378.647841754818216 559.913099366827282)",86
"LINESTRING (378.647841754810827 492.518367431510967,378.647841754814976 530.01836743151091)",87
"LINESTRING (375.888431331425181 183.517963792816204,582.390621137915673 183.517963792815749)",88
"LINESTRING (375.992271910590262 127.517560154179904,375.992271910590262 146.0175601541726)",89
"LINESTRING (376.002408002243044 62.018367431537975,376.002408002242589 79.517560154179847)",90
"LINESTRING (375.992271910590262 79.517560154179932,375.992271910590262 127.517560154179904)",91
"LINESTRING (375.888431331425181 183.517963792816204,375.888431331426091 184.999934638417784)",92
"LINESTRING (375.888431331426091 184.999934638417784,375.88843133142791 187.982309122792088)",93
"LINESTRING (55.258448394005683 601.988944210434852,128.140621137904787 601.988944210435079)",94
"LINESTRING (128.140621137904787 601.988944210435079,177.372599616611694 601.988944210435307)",95
"LINESTRING (298.387590296417898 644.015759468733791,298.389211064328151 744.018368543606016)",96
"LINESTRING (298.389211064328151 744.018368543607153,298.390499239674227 823.499764207244993)",97
"LINESTRING (197.974321335693588 196.482304216749299,197.974321335701063 290.518367431535694)",98
"LINESTRING (198.090511711817697 329.518367431537001,198.090511711817697 429.06328018277452)",99
"LINESTRING (60.258448394009513 466.563280182774008,199.590511711817697 466.563280182773553)",100
"LINESTRING (198.090511711817697 504.063280182773724,198.090511711821478 601.988944210434397)",101
"LINESTRING (55.258448394009491 329.518367431536092,198.090511711817697 329.518367431537001)",102
"LINESTRING (177.372599616611694 601.988944210435307,181.371352240742908 601.988944210434397)",103
"LINESTRING (55.258448394009548 196.482304216757996,180.372599616611836 196.482304216748105)",104
"LINESTRING (197.974321335701063 290.518367431535694,298.390621137910216 290.518367431536205)",105
"LINESTRING (298.390621137901178 324.353517671754503,298.390621137901178 450.930863534975572)",106
"LINESTRING (298.390621137915787 197.982304216748588,298.390621137910216 290.518367431536205)",107
"LINESTRING (298.390621137910216 290.518367431536205,298.39062113790817 324.353517671754503)",108
"LINESTRING (169.686657929634237 157.482304216748474,208.191942105311199 157.482304216748048)",109
"LINESTRING (169.686657929634237 157.482304216748474,169.686737671866894 67.018309853920542)",110
"LINESTRING (245.691942105311199 146.518367431535665,298.390621137915787 146.518367431536092)",111
"LINESTRING (181.138971488494633 196.482304216748389,197.974321335693588 196.482304216749299)",112
"LINESTRING (197.974321335693588 196.482304216749299,208.191942105310943 196.482304216749839)",113
"LINESTRING (245.691942105311199 146.518367431535665,245.691942105311199 155.982304216746712)",114
"LINESTRING (245.691942105311199 155.982304216746712,245.691942105311199 158.982304216745689)",115
"LINESTRING (244.191942105311284 196.482304216749867,275.885383125868884 196.482304216750293)",116
"LINESTRING (298.390621137915787 61.997865280404618,298.390621137915787 146.518367431536092)",117
"LINESTRING (298.385383124195414 504.959525896138302,298.385383124195414 594.018362524732083)",118
"LINESTRING (181.371352240742908 601.988944210434397,198.090511711821478 601.988944210434397)",119
"LINESTRING (198.090511711821478 601.988944210434397,275.887590299689293 601.988944210434283)",120
"LINESTRING (581.890621139589143 479.018367431561614,581.890621139589143 492.518367431520858)",121
"LINESTRING (581.890621139589143 492.518367431520858,581.890621139589143 544.447294712880534)",122
"LINESTRING (472.89062113791573 600.518362524746749,525.819553327722474 600.518362524746749)",123
"LINESTRING (398.388431333108713 602.768362524746749,472.89062113791573 602.768362524746749)",124
"LINESTRING (525.819553327722474 600.518362524746749,581.890621138752408 544.44729471371727)",125
"LINESTRING (297.640726483899584 744.018368543606016,297.641980369603743 821.384067425722151)",126
"LINESTRING (297.641980369603743 821.384067425722151,297.642014659243557 823.499764207244993)",127
"LINESTRING (253.521867706405345 10.26455085940632,253.521867706405317 61.997865280403644)",128
"LINESTRING (128.140621137904787 644.015808090520522,128.140621137901036 744.018368543607608)",129
"LINESTRING (128.140621137904787 601.988944210435079,128.140621137904787 611.805281774706941)",130
"LINESTRING (296.890621137908511 324.353517671754503,298.390621137901178 324.353517671754503)",131
"LINESTRING (298.39062113790817 324.353517671754503,299.890621137901178 324.353517671754503)",132
"LINESTRING (374.38843133142791 184.999934638418239,375.888431331426091 184.999934638417784)",133
"LINESTRING (375.888431331426091 184.999934638417784,377.38843133142791 184.999934638417329)",134
"LINESTRING (223.390621137904674 744.018368543607721,297.640726483899584 744.018368543607153)",135
"LINESTRING (297.640726483899584 744.018368543607153,298.389211064328151 744.018368543607153)",136
"LINESTRING (582.390621137915673 118.089435243402804,582.390621137915673 127.700090875856702)",137
"LINESTRING (581.890621138752408 452.018367431534273,581.890621138752408 461.700090875856688)",138
"LINESTRING (55.258448394009491 670.700090876648574,55.258448394009491 687.77496471730808)",139
"LINESTRING (378.647841754814976 530.018367431511251,378.647841754815602 536.018367431526713)",140
"LINESTRING (378.647841754816966 380.018367431577246,378.647841754822537 416.392195510181125)",141
